nom_scientifique,ID,nom_commun,autres_noms,id_famille,taille_adulte_min,taille_adulte_max,profondeur_habituelle_min,profondeur_habituelle_max,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,id_doris,label,nb_images,class_img,id_worms
Carcharhinus plumbeus,636,Le requin gris,,140,240.0,260,1.0,400.0,,,,"Surtout sur fond meuble, parfois pres des rochers",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," JABOULAY Annie, SITTLER Alain-Pierre, JAMME Stéphane in : DORIS, 29/11/2020 : Carcharhinus plumbeus (Nardo, 1827)",1782,,,<rnd>,
Carcharhinus signatus,643,Le requin de nuit,,140,200.0,280,90.0,280.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Carcharias taurus,625,Le requin taureau,,138,280.0,320,0.0,70.0,,,,Espece essentiellement côtiere,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," FEY Laurent, MALIET Vincent in : DORIS, 21/01/2021 : Carcharias taurus Rafinesque, 1810",1789,,,<rnd>,
Carcharodon carcharias,626,Le grand requin blanc,,139,640.0,720,0.0,100.0,,,Mortel,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, MARAN Vincent, DE MADDALENA Alessandro, KUPFER Michel in : DORIS, 29/11/2020 : Carcharodon carcharias Linnaeus, 1758",1649,,,<rnd>,
Caspiosoma caspium,452,Le gobie nu de Caspienne,,85,3.0,4.5,1.5,8.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Centracanthus cirrus,38,Le picarel guetteur,,12,15.0,20,30.0,80.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Centrolabrus exoletus,231,Le centrolabre,,53,12.0,14,2.0,15.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Centrolophus niger,24,Le centrolophe noir,,5,120.0,150,5.0,800.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Centrophorus granulosus,613,Le squale-chagrin commun,,131,100.0,150,60.0,1200.0,,,,Vit sur fonds vaseux,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," GIRARD Pascal in : DORIS, 19/01/2021 : Centrophorus granulosus Bloch & Schneider, 1801",4908,,,<rnd>,
Centrophorus uyato,614,Le petit squale chagrin,,131,90.0,100,50.0,1400.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Cepola macrophtalma,521,La cépole,,108,40.0,50,40.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Cetorhinus maximus,623,Le requin pelerin,,137,800.0,900,0.0,10.0,,,,"Espece occasionnelle, saisonniere. En été en surface se nourissant du plancton, en profondeur en hiver",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DUMAS Jacques, ADER Denis, HUET Sylvie in : DORIS, 07/01/2022 : Cetorhinus maximus (Gunnerus, 1765)",522,,,<rnd>,
Chaetodon hoefleri,245,Le poisson-papillon d’Hoefler,,56,15.0,20,10.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chaetodon robustus,247,Le poisson-papillon robuste,,56,12.0,15,3.0,70.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chaetodon sanctaehelenae,246,Le poisson papillon de sainte Helene,,56,10.0,12,1.0,25.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Cheilopogon exsiliens,19,Le poisson volant à ailes rayées,,4,25.0,30,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Cheilopogon heterurus,15,Le poisson volant mediterranéen,,4,30.0,35,0.0,5.0,loin du fond, ,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Cheilopogon pinnatibarbatus,18,Le poisson volant à miroirs,,4,35.0,42,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chelidonichthys cuculus,464,Le grondin rouge,,88,35.0,40,30.0,200.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chelidonichthys lastoviza,459,Le grondin camard,,88,25.0,30,20.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DIDIERLAURENT Sylvie, ROCHEFORT Gaël, LAMARE Véronique in : DORIS, 23/06/2022 : Chelidonichthys lastoviza (Bonnaterre, 1788)",770,73.0,304.0,<rnd>,
Chelidonichthys lucerna,460,Le grondin-perlon,,88,50.0,60,20.0,150.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MARAN Vincent, ROCHEFORT Gaël, ZIEMSKI Frédéric in : DORIS, 09/11/2020 : Chelidonichthys lucerna (Linnaeus, 1758)",875,74.0,500.0,<rnd>,
Chelidonichthys obscurus,463,Le grondin morrude,,88,30.0,35,20.0,70.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chelon auratus,58,Le mulet doré,,18,35.0,40,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chelon labrosus,55,Le mulet lippu,,18,40.0,60,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," COUDRE Christian, LE GRANCHÉ Philippe, ANDRÉ Frédéric in : DORIS, 30/01/2021 : Chelon labrosus (Risso, 1827)",1435,87.0,371.0,18938.jpg,126977
Chelon ramada,59,Le mulet porc,,18,40.0,60,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chelon saliens,60,Le mulet sauteur,,18,35.0,40,0.0,10.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chilomycterus reticulatus,325,Le poisson hérisson ponctué,,77,40.0,50,5.0,50.0,près du fond,,Epines robustes et dents coupantes,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chimaera monstrosa,686,La chimere commune,,151,70.0,90,100.0,500.0,Pres du fond,,La piqûre de l'épine de la première nageoire dorsale provoque une douleur intense et une plaie profonde.,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chirolophis ascanii,333,Le toupet marbré,,81,18.0,20,15.0,30.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chlopsis bicolor,497,Le xénocongre bicolore,,101,30.0,42,20.0,350.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chlorophtalmus agassizi,53,L’eperlan du large,,16,15.0,20,50.0,1000.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chromis chromis,248,La castagnole,,57,8.0,10,5.0,15.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MARTIN Jérôme, FEY Laurent, PEAN Michel, LE BRIS Sylvain in : DORIS, 20/01/2021 : Chromis chromis (Linnaeus, 1758)",739,31.0,1384.0,<rnd>,
Chromis limbata,249,La castagnole à queue rayée,,57,7.0,10,2.0,45.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chromogobius britoi,414,Le gobie de Brito,,85,4.0,4,5.0,25.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chromogobius quadrivittatus,415,Le gobie à quatre bandes,,85,5.0,6,0.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Chromogobius zebratus,413,Le gobie grêle zébré,,85,5.0,6,0.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Ciliata mustela,386,La motelle à 5 barbillons,,52,25.0,30,0.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Ciliata septentrionalis,385,La motelle nordique,,52,15.0,19,10.0,90.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Citharus linguatula,545,La feuille,,115,25.0,30,20.0,40.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Clinitrachus argentatus,486,Le cline argenté,,96,7.0,8,0.0,1.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Clupea harengus,4,Le hareng,,1,30.0,35,5.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Clupeonella cultriventris,2,La clupeonelle,,1,10.0,15,0.0,20.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Coelorinchus caelorhincus,300,Le grenadier à points noirs,,67,30.0,38,140.0,900.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Conger conger,494,Le congre,,100,150.0,200,5.0,100.0,Vivent sur le fond,,Morsure possible,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," SOHIER Sandra, PETIT DE VOIZE Patrice, JEGLOT Samuel in : DORIS, 13/09/2021 : Conger conger (Linnaeus, 1758)",610,81.0,392.0,<rnd>,
Corcyrogobius liechtensteini,412,Le gobie-corail nain,,85,2.5,2.8,5.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Coregonus albula,41,Le coregone blanc,,14,22.0,26,0.0,10.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Coregonus lavaretus,42,Le lavaret,,14,45.0,50,5.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Coris julis,239,La girelle,,53,20.0,25,1.0,60.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," CHEVALLIER Frédérik, LE GRANCHÉ Philippe in : DORIS, 08/11/2020 : Coris julis (Linnaeus, 1758)",651,26.0,1251.0,<rnd>,
Coryogalops ocheticus,423,Le gobie de Port-Saïd,,85,5.0,6.2,0.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Coryphaena hippurus,32,La grande coryphene,,10,100.0,130,2.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Coryphoblennius galerita,347,La blennie coiffée,,82,8.0,9,0.0,0.5,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LEGER David, GUICHARD Benjamin, LE BRIS Sylvain in : DORIS, 11/05/2021 : Coryphoblennius galerita (Linnaeus, 1758)",3972,50.0,311.0,<rnd>,
Cottus gobio,378,Le chabot commun,,84,10.0,12,0.0,1.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," COROLLA Jean-Pierre, KUPFER Michel in : DORIS, 21/09/2017 : Cottus gobio Linnaeus, 1758",241,59.0,389.0,<rnd>,
Cottus poecilopus,377,Le chabot de Sibérie,,84,10.0,16,0.0,3.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Crenidens crenidens,198,La saupe de mer rouge,,44,20.0,25,0.0,10.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Crystallogobius linearis,446,Le gobie cristal,,85,4.0,4.7,1.0,400.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Ctenolabrus rupestris,235,Le cténolabre,,53,12.0,15,5.0,20.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," ZIEMSKI Frédéric, BORG David in : DORIS, 15/01/2021 : Ctenolabrus rupestris (Linnaeus, 1758)",1592,24.0,403.0,<rnd>,
Cubiceps gracilis,95,Le dérivant brun,,21,30.0,60,0.0,3000.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Cyclichthys spilostylus,326,Le poisson hérisson à points jaunes,,77,25.0,30,5.0,30.0,près du fond,,Epines robustes et dents coupantes,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Cyclopterus lumpus,574,Le lompe,,122,40.0,50,20.0,150.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Cynoglossus sinusarabici,569,La sole-langue de mer rouge,,118,12.0,15,5.0,15.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Cynoponticus ferox,517,Le congre-brochet féroce,,105,50.0,60,10.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dactylopterus volitans,458,Le grondin volant,,87,35.0,40,15.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dagetichthys lusitanicus,566,La sole ruardon commune,,117,30.0,40,5.0,60.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dalatias licha,616,Le squale liche,,133,150.0,180,300.0,700.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," GIRARD Pascal in : DORIS, 19/01/2021 : Dalatias licha Bonnaterre, 1788",4911,,,<rnd>,
Dalophis imberbis,508,Le serpenton imberbe,,104,100.0,120,20.0,80.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dasyatis marmorata,679,La pastenague marbrée,,147,30.0,75,1.0,100.0,Sur le fond,,Possède un ou plusieurs aiguillons venimeux sur la queue.,Plages et fonds meubles côtiers et zones plus ou moins rocheuses,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dasyatis pastinaca,675,La pastenague commune,,147,50.0,60,5.0,60.0,Sur le fond,,Possède un ou plusieurs aiguillons venimeux sur la queue.,Fonds sablo-vaseux côtiers et substrats durs.,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DIDIERLAURENT Sylvie, BABIN Sylvie in : DORIS, 21/06/2022 : Dasyatis pastinaca (Linnaeus, 1758)",745,,,<rnd>,
Dasyatis tortonesei,677,La pastenague de tortonese,,147,65.0,80,5.0,200.0,Sur le fond,,Possède un ou plusieurs aiguillons venimeux sur la queue.,Fonds meubles,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.","DORIS, 21/06/2022 : Dasyatis tortonesei Capapé, 1975",5613,,,<rnd>,
Decapterus macarellus,71,La comète-maquereau,,20,25.0,35,20.0,200.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Decapterus punctatus,72,La comète kia-kia,,20,20.0,27,0.0,100.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Deltentosteus collonianus,431,Le gobie denté,,85,6.0,7,5.0,120.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Deltentosteus quadrimaculatus,430,Le gobie à 4 taches,,85,7.0,8,15.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dentex canariensis,196,Le denté des Canaries,,44,50.0,100,20.0,200.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dentex dentex,193,Le denté commun,,44,50.0,70,15.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," VIGNAUD Thomas, PERRIER Philippe, PASTOR Jérémy, PEAN Michel in : DORIS, 25/11/2022 : Dentex dentex (Linnaeus, 1758)",258,10.0,462.0,Denté169.jpeg,273962
Dentex gibbosus,194,Le denté bossu,,44,60.0,75,40.0,130.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dentex macrophtalmus,197,Le denté à gros yeux,,44,30.0,65,50.0,150.0,près du fond, ,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dentex maroccanus,195,Le denté du Maroc,,44,25.0,45,50.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dicentrarchus labrax,98,Le bar commun,,23,70.0,80,1.0,30.0,loin du fond,,,,oui,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MARAN Vincent, GRIOCHE Alain, ZIEMSKI Frédéric in : DORIS, 08/11/2020 : Dicentrarchus labrax (Linnaeus, 1758)",407,100.0,603.0,<rnd>,126975
Dicentrarchus punctatus,99,Le bar tacheté,,23,45.0,60,1.0,10.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dicologlossa cuneata,565,Le céteau,,117,25.0,30,10.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,127154
Didogobius bentuvii,418,Le gobie nain de Ben-Tuvia,,85,3.7,3.7,37.0,37.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Didogobius kochi,419,Le gobie nain des Canaries,,85,5.0,5.7,5.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Didogobius schlieweni,420,Le gobie nain à taches blanches,,85,4.0,5,8.0,12.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Didogobius splechtnai,421,Le gobie nain à barres brunes,,85,3.0,3.5,4.0,18.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Diodon holocanthus,324,Le petit porc épic,,77,25.0,30,5.0,25.0,près du fond,,Epines robustes et dents coupantes,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Diodon hystrix,323,Le grand porc épic,,77,50.0,60,5.0,25.0,près du fond,,Epines robustes et dents coupantes,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Diplecogaster bimaculata,583,Le porte-ecuelle à 2 taches,,124,4.0,4.5,10.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Diplodus Bellottii,182,Le sparaillon africain,,44,15.0,20,10.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Diplodus annularis,180,Le sparaillon,,44,15.0,18,1.0,20.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LAMARE Véronique, PASTOR Jérémy in : DORIS, 11/04/2021 : Diplodus annularis (Linnaeus, 1758)",487,6.0,382.0,<rnd>,
Diplodus cervinus,183,Le sar à grosses lèvres,,44,40.0,45,10.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LAMARE Véronique, PASTOR Jérémy in : DORIS, 07/08/2022 : Diplodus cervinus (Lowe, 1838)",471,7.0,367.0,3240.jpg,127051
Diplodus fasciatus,181,Le sar tambour du cap vert,,44,25.0,40,2.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Diplodus prayensis,178,Le sar à tête noire du cap vert,,44,20.0,25,2.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Diplodus puntazzo,177,Le sar à museau pointu,,44,30.0,40,10.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LAMARE Véronique, PASTOR Jérémy in : DORIS, 09/08/2022 : Diplodus puntazzo (Walbaum, 1792)",477,4.0,554.0,9457.jpg,127052
Diplodus sargus,176,Le sar commun,,44,20.0,30,1.0,40.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LAMARE Véronique, PASTOR Jérémy in : DORIS, 23/01/2021 : Diplodus sargus (Linnaeus, 1758)",463,3.0,1359.0,<rnd>,
Diplodus vulgaris,179,Le sar à tête noire,,44,20.0,30,2.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," HUSSON Georges, CASTILLO Jean-Pierre, PASTOR Jérémy, LAMARE Véronique in : DORIS, 07/08/2022 : Diplodus vulgaris (Geoffroy Saint Hilaire, 1817)",161,5.0,1623.0,<rnd>,
Dipturus batis,658,Le pocheteau gris,,146,120.0,150,100.0,200.0,Sur le fond,,,Plutôt sur fonds sablo-vaseux.,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dipturus oxyrinchus,660,Le pocheteau noir,,146,120.0,130,90.0,1000.0,Sur le fond,,,Plutôt sur fonds sablo-vaseux.,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Dussumieria elopsoides,10,La sardine arc-en-ciel,,1,15.0,20,0.0,20.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Echelus myrus,512,Le serpenton miro,,104,80.0,100,30.0,190.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
