nom_scientifique,ID,nom_commun,autres_noms,id_famille,taille_adulte_min,taille_adulte_max,profondeur_habituelle_min,profondeur_habituelle_max,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,id_doris,label,nb_images,class_img,id_worms
Apletodon dentatus,582,Le porte écuelle à petite tête,,124,4.0,4.5,0.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Apletodon incognitus,581,Le porte ecuelle des oursins,,124,3.0,3.5,1.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Apogon imberbis,272,L’apogon commun,,63,10.0,12,5.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," POISOT Thimothée, DUCASSY Jean-Marie, SITTLER Alain-Pierre in : DORIS, 10/12/2020 : Apogon imberbis (Linnaeus, 1758)",1084,37.0,559.0,<rnd>,
Apogonichthyoides nigripinnis,274,L’Apogon à nageoires noires,,63,7.0,8,,,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Apogonichthyoides taeniatus,276,L’apogon à deux selles,,63,10.0,12,5.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Apricaphanius iberus,171,L’aphanius d’Espagne,,42,3.0,5,0.0,5.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Apterichtus anguiformis,510,L’anguille-serpent à bouche noire,,104,50.0,60,10.0,40.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Apterichtus caecus,509,L’anguille-serpent aptère,,104,50.0,60,5.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Argentina silus,40,La grande argentine,,13,55.0,70,150.0,600.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Argentina sphyraena,39,La petite argentine,,13,25.0,32,50.0,200.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Argyrosomus regius,281,Le maigre,,64,100.0,140,15.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Ariosoma balearicum,498,Le congre des baléares,,100,40.0,50,20.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Arius parkii,478,Le poisson chat de guinée,,92,60.0,65,,,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Arnoglossus grohmanni,542,L’arnoglosse de kessler,,114,10.0,13,10.0,200.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Arnoglossus imperialis,540,L’arnoglosse imperial,,114,20.0,25,80.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Arnoglossus laterna,541,L’arnoglosse lanterne,,114,18.0,22,10.0,400.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Arnoglossus thori,539,L’arnoglosse de Thor,,114,18.0,20,15.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Arothron hispidus,318,Le tétraodon à taches blanches,,76,30.0,35,1.0,50.0,près du fond,,"Peau, foie et gonades extrêmement toxiques ( présence de tétraodontoxine)",,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Artediellus atlanticus,376,Le chaboisseau Atlantique,,84,10.0,14,35.0,900.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Atherina boyeri,62,Le joel,,19,8.0,10,0.0,3.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," WACQUANT Claude, ROCHEFORT Gaël, LAMARE Véronique in : DORIS, 22/02/2021 : Atherina boyeri Risso, 1810",945,96.0,246.0,<rnd>,
Atherina hepsetus,65,Le sauclet,,19,10.0,13,0.0,3.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
